Campaign Name,Send Time,Recipients,Revenue,First Purchase,Returning Customer,Open Rate,Click Rate,CTR,CVR,Time_Interval,Day_of_Week
ÚLTIMAS HORAS: HASTA 30% OFF,2025-12-31 10:00:00,56122,7277.0,3138.0,4139.0,0.5622,0.0085,0.0151,0.0012,10:00–11:00,Wednesday
TERMINA MAÑANA — La última venta del año,2025-12-30 09:30:00,57371,6653.0,2765.0,3888.0,0.5399,0.006999999999999999,0.013000000000000001,0.0012,09:00–10:00,Tuesday
Tu cuerpo responde al movimiento natural,2025-12-29 15:00:00,57325,2445.0,1591.0,854.0,0.5452,0.0053,0.0096,0.0003,15:00–16:00,Monday
Reinicia tu energía para lo que viene,2025-12-28 14:30:00,59223,3898.0,1343.0,2556.0,0.5687,0.0092,0.016200000000000003,0.0006,14:00–15:00,Sunday
Empieza desde tus pies,2025-12-27 18:00:00,60034,2939.0,1193.0,1747.0,0.6013000000000001,0.0084,0.0139,0.0004,18:00–19:00,Saturday
Sandalias: 25% OFF,2025-12-26 12:00:00,61264,7048.0,2489.0,4558.0,0.5623,0.0095,0.0169,0.0011,12:00–13:00,Friday
Sin oferta — Nota de agradecimiento,2025-12-24 18:00:00,61928,1551.0,816.0,735.0,0.5817,0.0033,0.005699999999999999,0.0002,18:00–19:00,Wednesday
"Regalos de último minuto (invierno, simple, siempre a tiempo)",2025-12-22 10:39:00,62788,1190.0,566.0,624.0,0.562,0.0029,0.0051,0.0002,10:00–11:00,Monday
Por qué el calzado correcto cambia más que tus pies,2025-12-20 15:00:00,96125,688.0,240.0,448.0,0.7011,0.0031,0.0045000000000000005,0.0001,15:00–16:00,Saturday
Por qué tantas familias eligen esta línea,2025-12-19 14:15:00,96526,1150.0,142.0,1007.0,0.69,0.0023,0.0033,0.0001,14:00–15:00,Friday
Top del invierno — Modelo Runner Pro,2025-12-16 15:30:00,96821,2227.0,887.0,1340.0,0.7152,0.022799999999999997,0.0319,0.0002,15:00–16:00,Tuesday
Spotlight: Pack de bienestar de pies,2025-12-13 12:00:00,47324,1598.0,735.0,863.0,0.5654,0.0067,0.0118,0.0004,12:00–13:00,Saturday
“Ordena a tiempo — evita tarifas express”,2025-12-12 17:00:00,47810,1327.0,499.0,828.0,0.5688,0.0074,0.013000000000000001,0.0001,17:00–18:00,Friday
Nosotros vs ellos — Barato vs premium,2025-12-10 12:00:00,49008,9044.0,706.0,8338.0,0.5599000000000001,0.005600000000000001,0.009899999999999999,0.0002,12:00–13:00,Wednesday
Antes / después: postura y energía,2025-12-07 10:00:00,49503,551.0,396.0,156.0,0.5697,0.0058,0.0101,0.0001,10:00–11:00,Sunday
Regalos para cada atleta,2025-12-06 10:30:00,102631,1825.0,935.0,890.0,0.6674,0.0034999999999999996,0.0053,0.0001,10:00–11:00,Saturday
La verdad sobre la comodidad,2025-12-05 10:00:00,52114,780.0,108.0,671.0,0.5627,0.004,0.0070999999999999995,0.0001,10:00–11:00,Friday
Por qué estos modelos lideran Cyber Week,2025-12-03 15:30:00,102117,4038.0,2005.0,2033.0,0.6811,0.0064,0.009399999999999999,0.0003,15:00–16:00,Wednesday
Los más regalados se van rápido,2025-12-02 10:30:00,102182,2107.0,518.0,1589.0,0.6679,0.0037,0.0055000000000000005,0.0002,10:00–11:00,Tuesday
CYBER empieza ya: hasta 30% OFF,2025-12-01 10:15:00,102722,5430.0,2124.0,3306.0,0.6642,0.0048,0.0072,0.0004,10:00–11:00,Monday
Último llamado: ahorros Black Friday,2025-11-30 10:15:00,103837,9635.0,3041.0,6594.0,0.6681999999999999,0.0072,0.010700000000000001,0.0009,10:00–11:00,Sunday
Último fin de semana: 25% OFF,2025-11-29 11:05:00,110271,10998.0,3081.0,7917.0,0.6377,0.005699999999999999,0.0089,0.0008,11:00–12:00,Saturday
Black Friday: el momento que esperabas,2025-11-28 11:00:00,77174,11348.0,4864.0,6484.0,0.5769,0.0084,0.0146,0.0013,11:00–12:00,Friday
"Gracias, comunidad (email de gratitud)",2025-11-27 09:00:00,110884,7392.0,1972.0,5419.0,0.6373,0.0043,0.0067,0.0006,09:00–10:00,Thursday
Cómo este ajuste cambió el juego,2025-11-25 16:08:00,78279,5276.0,1213.0,4063.0,0.6043,0.0074,0.0123,0.0005,16:00–17:00,Tuesday
Top 5 modelos más regalados,2025-11-23 11:13:44,105316,3749.0,1021.0,2729.0,0.6877,0.006500000000000001,0.0095,0.0003,11:00–12:00,Sunday
Black Friday empieza YA,2025-11-21 14:49:19,112678,8903.0,2696.0,6206.0,0.6456999999999999,0.009300000000000001,0.0143,0.0007000000000000001,14:00–15:00,Friday
Juntos — Última oportunidad: 5% de vuelta,2025-11-20 13:19:06,82039,5455.0,2097.0,3358.0,0.6031,0.0054,0.0089,0.0006,13:00–14:00,Thursday
“Últimas 48 horas de giving back” — cuenta regresiva,2025-11-19 12:00:00,105826,3699.0,1540.0,2159.0,0.6886,0.0055000000000000005,0.0079,0.0004,12:00–13:00,Wednesday
Lo que estás apoyando,2025-11-17 15:45:00,105902,5106.0,1823.0,3282.0,0.6859999999999999,0.0059,0.0086,0.0004,15:00–16:00,Monday
Un par. Infinitas rutas.,2025-11-15 12:00:00,114374,4360.0,1440.0,2920.0,0.637,0.0053,0.0083,0.0004,12:00–13:00,Saturday
"Muévete más, aporta más",2025-11-13 12:00:00,115260,12303.0,3462.0,8841.0,0.6342,0.0079,0.0125,0.0009,12:00–13:00,Thursday
Acceso VIP anticipado — 24h de ventaja,2025-11-12 12:00:00,19569,16314.0,4728.0,11586.0,0.6602,0.038,0.0575,0.0064,12:00–13:00,Wednesday
Día de los Veteranos,2025-11-11 12:00:00,76865,1396.0,688.0,708.0,0.6274000000000001,0.0037,0.0058,0.0002,12:00–13:00,Tuesday
Se viene algo GRANDE — prepárate,2025-11-10 12:00:00,114204,2289.0,1001.0,1288.0,0.6395000000000001,0.0106,0.0165,0.0002,12:00–13:00,Monday
5 beneficios en 1 sandalia,2025-11-09 12:00:00,78034,1081.0,443.0,638.0,0.6296,0.0045000000000000005,0.0070999999999999995,0.0001,12:00–13:00,Sunday
Regístrate para acceso anticipado (solo texto),2025-11-07 12:00:00,108737,1057.0,33.0,1024.0,0.6943,0.0111,0.016,0.0001,12:00–13:00,Friday
Re-Launch: edición renovada,2025-11-05 14:30:00,79998,892.0,129.0,763.0,0.6256,0.0171,0.0273,0.0001,14:00–15:00,Wednesday
Tu primer mes con tu nuevo par,2025-11-03 12:00:00,81426,7332.0,0.0,7332.0,0.6228,0.0059,0.0095,0.0001,12:00–13:00,Monday
Halloween — Resistencia de miedo,2025-10-31 11:00:00,75102,2176.0,533.0,1643.0,0.6658,0.0043,0.006500000000000001,0.0002,11:00–12:00,Friday
Halloween — Listas para cualquier caos,2025-10-29 17:00:00,82855,2010.0,806.0,1204.0,0.6279,0.0064,0.0101,0.0002,17:00–18:00,Wednesday
Del trail a la ciudad: un par lo hace todo,2025-10-26 13:09:51,83624,1424.0,162.0,1262.0,0.6305,0.0109,0.0173,0.0002,13:00–14:00,Sunday
"Inspiración clásica, simplicidad moderna",2025-10-21 12:00:00,84638,1527.0,499.0,1029.0,0.6142,0.0067,0.0109,0.0002,12:00–13:00,Tuesday
Diseño minimalista de punta,2025-10-18 09:00:00,85585,2353.0,1241.0,1112.0,0.6135,0.01,0.016200000000000003,0.0003,09:00–10:00,Saturday
Zero-drop = movimiento natural,2025-10-15 13:00:00,86414,2321.0,758.0,1562.0,0.6122,0.006,0.0097,0.0002,13:00–14:00,Wednesday
¿Ayuda de verdad con fascitis plantar?,2025-10-13 11:00:00,87847,1285.0,460.0,824.0,0.6128,0.006999999999999999,0.011399999999999999,0.0001,11:00–12:00,Monday
Día de los Pueblos Indígenas,2025-10-12 14:00:00,88109,1501.0,626.0,875.0,0.6163000000000001,0.0058,0.0095,0.0002,14:00–15:00,Sunday
Día Mundial de la Salud Mental,2025-10-10 09:00:00,88811,726.0,157.0,569.0,0.5995,0.0040999999999999995,0.0069,0.0001,09:00–10:00,Friday
Miércoles: Move Natural #8,2025-10-08 18:14:30,14514,14.0,0.0,14.0,0.63,0.003,0.004699999999999999,0.0001,18:00–19:00,Wednesday
Arcos planos: soporte y recuperación,2025-10-07 12:00:00,89711,2296.0,1240.0,1055.0,0.6028,0.0096,0.0159,0.0003,12:00–13:00,Tuesday
Sistema de ajuste regulable,2025-10-04 09:00:00,90737,1779.0,642.0,1137.0,0.6054999999999999,0.0046,0.0076,0.0002,09:00–10:00,Saturday
Reconstruye desde la base,2025-10-02 18:00:00,83052,2075.0,1477.0,598.0,0.6481,0.0095,0.0147,0.0002,18:00–19:00,Thursday
Lo que usamos para alivio en trail,2025-09-29 15:00:00,92735,2478.0,536.0,1943.0,0.6009,0.0064,0.0106,0.0003,15:00–16:00,Monday
La ruta te llama — responde antes de que termine,2025-09-27 09:00:00,94477,1569.0,519.0,1050.0,0.5961,0.0074,0.0124,0.0002,09:00–10:00,Saturday
Lanzamiento “Atlas” — nota del fundador,2025-09-25 11:00:00,108428,2367.0,431.0,1936.0,0.6831999999999999,0.004699999999999999,0.0069,0.0001,11:00–12:00,Thursday
Miércoles: Move Natural #7,2025-09-24 17:00:00,14930,252.0,0.0,252.0,0.6162,0.0019,0.0032,0.0002,17:00–18:00,Wednesday
Launch #3: FAQ y objeciones,2025-09-23 09:00:00,98375,2573.0,210.0,2363.0,0.6748000000000001,0.0062,0.0092,0.0002,09:00–10:00,Tuesday
Atlas Launch #2 — urgencia y escasez,2025-09-21 09:00:00,100215,3870.0,505.0,3365.0,0.6847,0.0092,0.013500000000000002,0.0003,09:00–10:00,Sunday
YA DISPONIBLE: Sandalias Atlas,2025-09-19 09:00:00,101865,3739.0,1197.0,2542.0,0.6808,0.009899999999999999,0.014499999999999999,0.0003,09:00–10:00,Friday
Acceso VIP anticipado,2025-09-17 16:00:00,86285,6771.0,1178.0,5594.0,0.5972999999999999,0.022400000000000003,0.0374,0.0005,16:00–17:00,Wednesday
Libertad para moverte natural,2025-09-15 17:00:00,45948,1054.0,240.0,814.0,0.5593,0.0089,0.0158,0.0003,17:00–18:00,Monday
"Duerme mejor, muévete mejor",2025-09-14 08:00:00,53224,957.0,526.0,431.0,0.4913,0.011899999999999999,0.024300000000000002,0.0001,08:00–09:00,Sunday
Mito: más cushion = más comfort,2025-09-12 12:00:00,111413,1889.0,747.0,1142.0,0.6851,0.004699999999999999,0.0069,0.0002,12:00–13:00,Friday
Fluye mejor. Vive más fuerte.,2025-09-10 18:00:00,55216,1321.0,544.0,777.0,0.5028,0.0147,0.0292,0.0002,18:00–19:00,Wednesday
Miércoles: Move Natural #6,2025-09-03 16:00:00,15407,0.0,0.0,0.0,0.6068,0.0021,0.0034999999999999996,0.0001,16:00–17:00,Wednesday
Último día. Te quedan 24 horas.,2025-09-02 09:30:00,49660,7052.0,3603.0,3449.0,0.5462,0.0147,0.0268,0.0014000000000000002,09:00–10:00,Tuesday
Labor Day: suelta lo que sobra,2025-09-01 12:00:00,59029,4402.0,1583.0,2819.0,0.47450000000000003,0.011399999999999999,0.024,0.0007000000000000001,12:00–13:00,Monday
Estos 3 modelos están casi agotados,2025-08-30 10:00:00,44706,6563.0,2927.0,3636.0,0.5666,0.0152,0.0268,0.0015,10:00–11:00,Saturday
Movimiento natural y estrés (cortisol),2025-08-29 14:00:00,51819,5774.0,2294.0,3479.0,0.55,0.0152,0.0277,0.0012,14:00–15:00,Friday
Hechas para durar cada trail,2025-08-27 14:00:00,53451,5506.0,1964.0,3543.0,0.5536,0.015300000000000001,0.0277,0.001,14:00–15:00,Wednesday
"Por qué 30,000+ mujeres eligen esta línea + Women’s Equality Day",2025-08-26 14:00:00,53204,3978.0,2058.0,1921.0,0.5521,0.0108,0.0196,0.0008,14:00–15:00,Tuesday
Lanzamiento oficial Labor Day,2025-08-25 16:00:00,126017,14048.0,4782.0,9266.0,0.6236,0.014499999999999999,0.0232,0.0011,16:00–17:00,Monday
Acceso VIP termina hoy,2025-08-24 10:00:00,11258,14669.0,4774.0,9894.0,0.6271,0.0849,0.1354,0.0127,10:00–11:00,Sunday
Acceso VIP empieza YA,2025-08-23 12:00:00,11068,35234.0,10885.0,24349.0,0.6764,0.16519999999999999,0.24420000000000003,0.029900000000000003,12:00–13:00,Saturday
Invitación #2 — El inventario vuela. Tú también.,2025-08-22 11:00:00,151,0.0,0.0,0.0,0.4636,0.0199,0.0429,0.0,11:00–12:00,Friday
Invitación #2 — Muévete rápido.,2025-08-22 11:00:00,64075,2475.0,721.0,1753.0,0.46409999999999996,0.012199999999999999,0.0263,0.0004,11:00–12:00,Friday
Invitación #1 — Por qué esta venta lo cambia todo…,2025-08-20 09:00:00,42883,1639.0,953.0,686.0,0.6786,0.030600000000000002,0.0451,0.0003,09:00–10:00,Wednesday
Labor Day | Hype | Invitación,2025-08-18 16:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16:00–17:00,Monday
Labor Day | Hype | Invitaciones,2025-08-18 16:00:00,100232,2214.0,501.0,1713.0,0.6922,0.0179,0.0259,0.0002,16:00–17:00,Monday
Labor Day | Hype | Invitaciones (v2),2025-08-18 16:00:00,11286,621.0,478.0,143.0,0.6746,0.02,0.0297,0.0004,16:00–17:00,Monday
Invitación del fundador — Labor Day,2025-08-17 10:00:00,128455,3207.0,1577.0,1630.0,0.6363,0.0262,0.0412,0.0002,10:00–11:00,Sunday
Día Nacional de la Relajación,2025-08-15 18:00:00,103559,1506.0,886.0,620.0,0.7504000000000001,0.0070999999999999995,0.009399999999999999,0.0002,18:00–19:00,Friday
Miércoles: Move Natural #5,2025-08-13 11:00:00,15963,516.0,0.0,516.0,0.5831000000000001,0.0019,0.0033,0.0006,11:00–12:00,Wednesday
Diseño zero-drop,2025-08-12 20:00:00,104672,2812.0,1417.0,1395.0,0.741,0.005699999999999999,0.0077,0.0003,20:00–21:00,Tuesday
La diferencia “barefoot”,2025-08-10 10:00:00,105527,4525.0,1802.0,2723.0,0.7323999999999999,0.0069,0.009399999999999999,0.0004,10:00–11:00,Sunday
Días sin dolor empiezan en la suela,2025-08-08 15:30:00,116077,3892.0,912.0,2980.0,0.6740999999999999,0.0060999999999999995,0.0091,0.0003,15:00–16:00,Friday
Días sin dolor empiezan en la suela (v2),2025-08-08 10:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:00–11:00,Friday
Miércoles: Move Natural #4,2025-08-06 12:00:00,16399,580.0,105.0,475.0,0.5905,0.0021,0.0034999999999999996,0.0002,12:00–13:00,Wednesday
Back to School,2025-08-05 10:00:00,117801,2968.0,857.0,2111.0,0.653,0.0037,0.005600000000000001,0.0002,10:00–11:00,Tuesday
Día de la Familia,2025-08-03 09:00:00,117813,4378.0,1599.0,2779.0,0.6577,0.0046,0.0069,0.0003,09:00–10:00,Sunday
Cordones premium de ajuste,2025-08-01 12:00:00,104895,4079.0,2222.0,1857.0,0.7329000000000001,0.0049,0.0066,0.0003,12:00–13:00,Friday
12 años de libertad de movimiento,2025-07-30 17:00:00,105293,2308.0,1340.0,968.0,0.7364,0.0068000000000000005,0.0092,0.0003,17:00–18:00,Wednesday
